,open_time,open,high,low,close,volume,close_time,c1,c2,c3,c4,c5
76,1616335200000,57021.95,57320.66,57000.05,57192.23,905.571263,1616336999999,51792908.25585238,43703,479.034532,27398099.46618232,0.0
77,1616337000000,57192.23,57272.63,57119.99,57177.37,570.978271,1616338799999,32659642.53166239,37944,269.00485,15388053.45646682,0.0
78,1616338800000,57177.37,57539.0,57162.87,57367.56,977.714897,1616340599999,56084609.66746671,32897,523.840024,30050051.02575403,0.0
79,1616340600000,57367.56,57441.69,57013.3,57159.04,865.615557,1616342399999,49524496.97658711,28666,413.89974,23682761.60402223,0.0
80,1616342400000,57159.04,57412.86,56750.0,57341.38,1402.849648,1616344199999,80138930.9011506,45741,693.151919,39591901.94834197,0.0
81,1616344200000,57341.38,57415.0,57070.0,57222.31,950.261083,1616345999999,54404166.41711848,40550,485.44695,27795824.60553542,0.0
82,1616346000000,57220.26,57303.95,56962.26,57138.97,907.037238,1616347799999,51830283.38668815,39292,412.958327,23597112.14457267,0.0
83,1616347800000,57138.97,57299.99,57102.47,57249.14,570.467927,1616349599999,32647914.18514116,24213,278.483627,15938622.03357036,0.0
84,1616349600000,57249.13,57443.98,57205.41,57271.13,588.501007,1616351399999,33734325.0627303,23982,295.553242,16943395.02555782,0.0
85,1616351400000,57271.14,57481.01,57186.82,57365.08,488.294951,1616353199999,28011942.53544831,21051,252.791717,14503462.7697676,0.0
86,1616353200000,57365.08,57676.0,57357.94,57488.38,942.157497,1616354999999,54226616.31535534,30548,526.532168,30305145.80620621,0.0
87,1616355000000,57488.38,57580.0,57382.26,57513.18,799.906727,1616356799999,45981803.551389,23747,467.833532,26892928.06134872,0.0
88,1616356800000,57517.0,57997.0,57517.0,57814.14,1295.887353,1616358599999,74923629.51740713,49288,611.498207,35347523.94984647,0.0
89,1616358600000,57814.15,57892.0,57650.09,57760.48,634.081146,1616360399999,36627840.19866457,35795,309.992914,17907140.65708917,0.0
